Sr No,Date (dd/mm/yyyy),Startup Name,Industry Vertical,City  Location,Investors Name,Investment Type,  Amount in USD  ,Remarks
717,27/07/2017,1mg,eCommerce,Gurgaon,HBM Healthcare Investments Maverick Capital Ventures Sequoia India Omidyar Network and Kae Capital,Private Equity,15000000.00,nan
718,28/07/2017,Jhakaas,Consumer Internet,Mumbai,Amen Dhyllon,Seed Funding,0.00,
719,28/07/2017,BigStylist,Consumer Internet,Mumbai,Info Edge (India) Ltd,Private Equity,1250000.00,nan
720,28/07/2017,Gympik.com,Consumer Internet,Bengaluru,RoundGlass Partners,Seed Funding,0.00,
721,1/6/2017,Tripeur,Technology,Bengaluru,Grace Grace Techno Ventures LLP Rajul Garg & Other 0 investors,Seed Funding,0.00,
722,2/6/2017,RentOnGo,eCommerce,Bengaluru,TVS Motor Company,Seed Funding,234000.00,nan
723,5/6/2017,Goomo,Consumer Internet,Mumbai,Emerging India,Private Equity,50000000.00,nan
724,5/6/2017,MaxMyWealth,Consumer Internet,Mumbai,lockchain ecosystem Global Advisors Horseferry,Private Equity,0.00,
725,6/6/2017,Spinny,eCommerce,Gurgaon,Blume Ventures Indian Angel Network Kunal Shah Sandeep Tandon,Private Equity,1000000.00,nan
726,6/6/2017,Healthbuds,Consumer Internet,Kolkata,Arun Patodia Bharat Kedia,Seed Funding,0.00,
727,6/6/2017,Ftcash,Consumer Internet,Mumbai,500 Startups IvyCap Ventures,Private Equity,0.00,
728,6/6/2017,BHIVE Workspace,Consumer Internet,Bengaluru,Blume Ventures,Private Equity,1200000.00,nan
729,6/6/2017,wayForward,Consumer Internet,New Delhi,Harsh Mahajan Farhan Naqvi Sreepathy Viswanathan,Seed Funding,1000000.00,nan
730,6/6/2017,GyanDhan,Consumer Internet,New Delhi,Sundaram Fice Holdings,Private Equity,0.00,
731,6/6/2017,Hungry Foal,Consumer Internet,Gurgaon,SBI (Stand Up India Scheme),Private Equity,0.00,
732,7/6/2017,ZipLoan,Consumer Internet,New Delhi,WaterBridge Ventures,Seed Funding,650000.00,nan
733,7/6/2017,GrowFitter,Consumer Internet,Mumbai,SQue Capital,Seed Funding,600000.00,nan
734,8/6/2017,Stratfit,Consumer Internet,Hyderabad,Bodhtree Consulting Limited,Seed Funding,232000.00,nan
735,8/6/2017,Multiplier Solutions,Technology,Hyderabad,Norwest Venture Partners,Private Equity,1500000.00,nan
736,8/6/2017,ABI Health,Technology,Bengaluru,Norwest Venture Partners,Private Equity,1500000.00,nan
737,8/6/2017,Stockal,Consumer Internet,Bengaluru,Mohan Alexander R. Natarajan Vikrant Varshney Amit Sinha,Seed Funding,350000.00,nan
738,9/6/2017,Guidoo,Consumer Internet,Mumbai,Pawan Borle Nirmal Singh Manish Prasad Vineet Varma Nick Haulkoury Abhai S. Rao,Seed Funding,300000.00,nan
739,9/6/2017,eSahai.in,Consumer Internet,Hyderabad,Dr Ramesh Ayyala Satya Muthyala,Seed Funding,250000.00,nan
740,12/6/2017,Loanmeet,Consumer Internet,Bengaluru,Cao Yibin Huang Wei Madhusudan E,Seed Funding,0.00,
741,12/6/2017,LendingKart,Consumer Internet,Ahmadabad,Yes Bank,Debt Funding,7800000.00,nan
742,12/6/2017,Boxx.ai,Technology,Bengaluru,Unicorn India Ventures Venky Krishnakumar Suresh Shankar Vivek Bhargava,Private Equity,500000.00,nan
743,12/6/2017,PeeSafe.in,Healthcare,New Delhi,Venture Catalysts Alfa Capital Green Shots Capital Real Time Ventures,Private Equity,1000000.00,nan
744,12/6/2017,Vista Rooms,Consumer Internet,Mumbai,Artha India Ventures Singularity Holdings Rajan Anandan Girish Mathrubootham,Seed Funding,776000.00,nan
745,12/6/2017,CoverFox,Consumer Internet,Mumbai,Transamerica,Private Equity,15000000.00,nan
746,13/06/2017,HyperTrack,Technology,New Delhi,Nexus Venture Partners Founders Fund,Private Equity,0.00,
747,13/06/2017,Goodera,Technology,Bengaluru,Nexus Venture Partners Omidyar Network,Private Equity,5500000.00,nan
748,13/06/2017,Digit,Technology,Bengaluru,Fairfax Holdings,Private Equity,0.00,
749,14/06/2017,Ola,Consumer Internet,Bengaluru,Tekne Capital Management LLC,Private Equity,50000000.00,nan
750,14/06/2017,Vanitycask,Consumer Internet,Mumbai,RB Investments,Seed Funding,0.00,
